일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,16.7,16.9,16.9,16.8,16.4,16.5,16.5,16.5,18.4,19.9,20.9,22.0,22.7,23.3,24.3,24.0,23.2,24.0,22.0,21.1,19.8,19.1,19.2,19.2,24.3,19.8,16.4
02,19.1,18.6,18.6,18.5,18.0,17.9,18.1,17.9,18.7,20.4,21.1,21.5,21.8,22.4,22.5,22.3,21.8,22.3,20.9,20.3,19.7,19.5,19.3,19.1,22.5,20.0,17.9
03,19.1,18.9,19.1,18.6,18.8,19.0,18.6,19.0,20.1,22.2,22.5,23.0,23.3,22.8,23.0,23.2,22.6,23.2,21.9,21.3,21.3,21.1,20.8,20.8,23.3,21.0,18.6
04,20.5,19.9,19.9,19.9,20.1,20.4,20.7,20.4,21.3,21.2,21.4,21.7,21.7,22.3,22.2,22.9,22.5,22.9,23.1,23.3,23.3,23.0,22.1,22.7,23.3,21.7,19.9
05,22.8,22.4,23.1,23.5,22.8,22.9,22.9,22.9,23.1,23.3,23.2,24.1,23.7,22.7,24.2,23.8,23.7,23.8,23.3,23.3,23.3,23.3,23.7,25.6,25.6,23.4,22.4
06,26.0,26.1,26.3,25.7,24.9,22.0,21.0,22.0,20.6,20.1,20.1,19.9,19.7,19.5,19.2,18.6,18.3,18.6,17.4,17.1,17.1,17.0,16.9,16.9,26.3,20.4,16.9
07,16.4,15.8,15.3,15.1,15.2,15.0,14.7,15.0,14.6,14.9,15.1,15.5,15.7,15.7,15.7,15.7,15.6,15.7,15.5,15.3,15.1,14.9,14.7,14.3,16.4,15.3,14.3
08,14.0,13.7,13.5,13.3,13.2,12.5,12.0,12.5,12.7,14.2,15.5,15.9,16.3,16.9,17.5,18.8,19.8,18.8,18.1,17.1,16.5,15.8,16.8,16.9,19.8,15.5,12.0
09,17.1,17.1,16.7,16.7,16.5,16.9,16.2,16.9,17.3,18.9,19.6,19.8,20.3,20.5,20.5,21.0,21.4,21.0,20.9,20.8,20.5,19.9,18.9,18.4,21.4,18.9,15.5
10,17.9,17.4,16.9,16.9,16.0,15.3,14.6,15.3,14.0,13.6,13.3,13.1,13.1,12.9,12.6,12.4,12.3,12.4,11.8,11.6,11.5,11.6,11.5,11.3,17.9,13.7,11.3
11,11.3,11.2,11.2,11.1,10.9,10.6,10.6,10.6,10.5,10.9,10.9,10.7,11.1,11.3,11.0,11.1,11.1,11.1,11.4,11.4,11.1,11.3,11.2,11.2,11.4,11.0,10.5
12,10.9,10.7,10.7,10.8,10.8,10.8,10.7,10.8,10.9,11.0,10.9,10.9,10.6,10.7,10.9,10.9,11.0,10.9,10.7,10.7,10.6,10.3,10.1,9.9,11.0,10.7,9.9
13,9.4,9.0,9.3,8.5,8.7,9.5,9.6,9.5,9.4,9.6,9.6,10.0,10.0,9.9,10.3,10.3,10.3,10.3,10.4,10.3,10.3,10.4,10.4,10.4,10.4,9.8,8.5
14,10.5,10.5,10.7,10.7,10.8,10.9,11.2,10.9,11.5,11.5,11.7,12.0,12.4,12.8,13.0,13.1,13.2,13.1,13.6,13.5,13.5,13.4,13.3,13.3,13.6,12.2,10.5
15,13.2,13.2,13.1,13.0,12.8,13.1,13.1,13.1,13.2,13.3,13.7,13.9,14.2,14.4,14.4,14.6,14.7,14.6,13.8,12.9,12.4,12.0,11.8,11.8,14.7,13.3,11.8
16,12.0,11.9,11.6,11.5,12.0,11.9,12.2,11.9,12.5,13.8,14.8,15.6,15.9,13.9,13.1,12.5,12.0,12.5,13.0,13.0,13.5,13.9,13.8,13.8,15.9,13.0,11.5
17,12.3,12.9,12.7,13.2,12.2,12.0,12.6,12.0,11.4,11.6,11.2,11.9,12.7,11.2,10.4,8.8,9.8,8.8,10.5,10.4,10.5,10.2,9.8,9.7,13.2,11.3,8.8
18,9.5,8.7,7.9,8.2,8.5,7.7,7.6,7.7,7.9,7.9,8.1,8.8,9.1,9.5,9.7,10.1,10.4,10.1,11.0,11.3,11.4,11.5,11.3,11.3,11.5,9.4,7.6
