일,000102030405060708091011121314151617181920212223,최대,평균,최소
01,21.621.621.421.521.521.621.521.621.521.521.521.321.221.321.321.321.421.321.421.421.521.421.521.5,21.6,21.4,21.2
02,21.521.521.421.421.421.421.421.421.421.421.421.421.321.321.321.221.221.221.321.421.421.421.421.4,21.5,21.4,21.2
03,21.421.421.421.421.421.321.421.321.421.421.321.321.321.321.321.321.321.321.321.421.321.421.321.4,21.4,21.3,21.2
04,21.421.421.321.321.321.321.221.321.321.321.321.221.221.221.221.221.221.221.221.321.321.321.421.3,21.4,21.3,21.2
05,21.321.321.321.321.221.221.121.221.121.121.121.121.121.121.121.121.021.121.021.021.021.021.121.1,21.3,21.1,21.0
06,21.021.021.021.021.020.920.920.920.920.920.920.820.820.820.820.820.820.820.820.820.820.920.920.9,21.0,20.9,20.8
07,20.920.820.820.820.820.720.820.720.720.720.720.720.620.720.720.720.720.720.620.720.720.720.720.7,20.9,20.7,20.6
08,20.720.720.720.720.620.620.620.620.720.720.620.620.720.620.620.620.720.620.720.620.620.720.720.7,20.7,20.7,20.6
09,20.720.720.720.720.620.620.620.620.620.520.520.620.520.520.620.520.520.520.520.520.520.520.520.5,20.7,20.6,20.5
10,20.520.520.620.620.620.520.520.520.520.520.520.420.520.520.520.520.420.520.420.420.420.420.420.4,20.6,20.5,20.4
11,20.420.420.520.520.520.520.420.520.320.320.320.320.320.320.320.320.320.320.320.320.320.320.320.3,20.5,20.4,20.3
12,20.320.320.320.420.420.420.320.420.220.220.220.220.220.220.220.320.320.320.220.220.220.220.220.1,20.4,20.3,20.1
13,20.120.120.120.120.220.220.220.220.120.120.120.120.020.020.020.120.120.120.220.120.020.020.020.0,20.2,20.1,20.0
14,20.019.919.919.919.920.020.020.019.919.919.819.819.819.719.719.819.919.820.019.919.919.919.919.9,20.0,19.9,19.7
15,19.919.819.819.819.819.819.919.819.819.819.819.819.819.819.819.719.819.719.819.919.819.819.819.8,19.9,19.8,19.7
16,19.819.819.719.719.719.719.719.719.719.719.719.719.619.519.419.419.419.419.519.619.619.619.619.6,19.8,19.6,19.4
17,19.519.519.419.419.319.419.419.419.419.419.419.319.319.319.319.219.219.219.419.419.419.419.419.4,19.5,19.4,19.2
18,19.319.319.319.319.319.219.319.219.419.319.219.219.219.219.219.119.119.119.319.319.419.419.319.3,19.4,19.3,19.1
19,19.319.319.319.319.319.319.319.319.419.319.319.319.319.319.319.219.219.219.219.219.219.319.319.2,19.4,19.3,19.2
20,19.219.219.219.119.119.119.019.119.019.019.018.919.019.018.918.918.918.918.818.818.818.918.918.9,19.2,19.0,18.8
21,18.918.918.918.818.818.818.818.818.718.718.718.718.718.718.718.718.718.718.618.618.618.718.718.7,18.9,18.7,18.6
22,18.618.618.618.618.618.518.518.518.518.518.418.418.518.518.518.518.518.518.518.518.518.518.518.6,18.6,18.5,18.4
23,18.618.618.518.618.618.618.518.618.518.518.518.518.518.518.518.518.518.518.518.518.518.518.518.5,18.6,18.5,18.5
24,18.518.618.618.518.518.518.518.518.518.518.518.518.518.518.518.418.518.418.518.518.518.418.518.4,18.6,18.5,18.4
25,18.518.518.618.618.518.518.518.518.518.518.418.418.418.418.518.518.418.518.418.418.418.418.418.4,18.6,18.5,18.4
26,18.418.318.418.418.518.418.418.418.418.418.418.418.418.418.418.518.518.518.418.418.418.418.418.4,18.5,18.4,18.3
27,18.418.418.318.318.418.418.318.418.318.318.218.218.218.118.118.118.218.118.218.218.318.218.218.2,18.4,18.3,18.1
28,18.118.118.118.118.118.218.218.218.218.218.218.218.118.118.118.118.218.118.218.218.218.218.218.2,18.2,18.2,18.1
29,18.218.218.218.118.218.218.218.218.118.118.118.118.118.118.118.118.118.118.118.218.218.218.218.2,18.2,18.2,18.1
30,18.218.218.218.118.218.218.218.218.218.218.118.118.118.118.118.118.218.118.218.218.218.218.318.3,18.3,18.2,18.1
31,18.318.318.318.318.218.218.218.218.218.218.218.218.218.218.218.218.218.218.318.218.318.318.318.3,18.3,18.2,18.2
TOTAL,19.719.719.719.719.719.719.719.719.719.619.619.619.619.619.619.619.619.619.619.619.619.619.619.6,19.8,19.6,19.5
