일,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,최대,평균,최소
01,20.2,19.8,19.3,19.1,19.1,19.4,19.2,19.4,19.8,21.2,22.0,21.3,21.1,22.7,20.5,20.2,20.1,20.2,20.1,20.1,20.2,19.9,19.7,19.1,22.7,20.2,19.1
02,18.5,18.5,18.7,18.7,18.8,19.0,19.0,19.0,19.0,18.8,18.9,18.4,18.5,18.9,19.2,19.2,19.2,19.2,18.9,18.4,18.2,18.3,18.1,18.0,19.3,18.7,18.0
03,17.7,17.5,17.4,17.3,17.2,17.3,17.5,17.3,18.2,18.7,18.7,19.0,19.0,19.9,20.2,20.9,20.7,20.9,20.0,19.9,19.6,19.7,19.6,19.7,20.9,18.9,17.2
04,19.5,19.3,18.7,18.5,18.6,18.4,18.2,18.4,20.3,20.8,21.3,21.5,21.4,22.1,20.4,20.3,22.7,20.3,22.3,21.1,20.0,19.9,19.7,19.7,23.2,20.3,18.2
05,19.8,19.6,19.2,19.5,19.4,19.2,19.5,19.2,20.3,21.0,21.1,21.3,22.1,22.1,21.8,20.9,20.9,20.9,21.1,21.1,20.3,19.9,19.7,19.6,22.1,20.4,19.2
06,19.5,19.2,19.1,18.8,18.4,18.3,18.2,18.3,18.6,18.8,18.9,19.3,19.6,19.9,20.4,19.8,19.8,19.8,19.3,19.1,18.9,19.0,19.1,19.1,20.4,19.1,18.2
07,18.9,19.0,19.2,19.1,19.1,19.2,19.2,19.2,19.6,19.9,21.0,21.6,22.2,22.0,20.9,21.9,21.8,21.9,19.9,19.1,18.8,18.7,18.8,18.8,22.4,20.0,18.7
08,19.1,19.4,19.3,19.2,19.1,19.1,19.3,19.1,20.1,20.8,21.9,22.4,21.1,21.2,21.5,20.7,21.2,20.7,22.0,21.4,21.5,20.9,21.2,20.8,22.4,20.6,19.1
09,20.5,19.7,19.5,19.3,19.2,19.1,19.1,19.1,18.8,19.3,19.6,19.5,19.1,19.7,20.1,20.0,20.9,20.0,22.1,22.1,22.8,22.4,21.7,22.0,22.8,20.3,18.8
10,22.8,22.9,22.7,22.9,22.5,22.1,22.6,22.1,22.8,23.9,25.1,26.2,27.5,28.7,26.6,24.2,21.6,24.2,21.2,20.9,20.9,21.1,21.0,21.3,28.7,23.1,20.9
11,20.8,20.6,20.7,20.4,20.5,20.0,20.1,20.0,22.2,21.9,21.9,22.0,21.9,21.6,21.3,21.5,21.5,21.5,21.3,21.2,20.6,20.4,20.2,20.0,22.2,21.0,20.0
12,19.9,19.8,19.8,19.9,19.7,19.0,17.9,19.0,17.7,19.0,19.4,19.7,20.3,20.5,20.5,20.6,20.6,20.6,20.5,20.7,21.0,20.4,19.8,19.6,21.0,19.8,17.6
13,19.6,20.0,20.1,19.8,19.6,19.6,19.3,19.6,20.3,20.5,20.5,20.4,20.3,20.2,20.4,20.7,20.8,20.7,20.9,20.5,20.3,20.3,20.3,20.3,20.9,20.2,19.3
14,20.2,19.9,19.8,19.9,20.0,19.7,19.5,19.7,19.7,19.5,19.6,19.5,19.9,20.0,20.0,20.3,20.7,20.3,20.7,20.6,20.0,19.8,19.5,19.5,20.8,19.9,19.1
15,19.6,19.6,19.7,19.5,19.3,19.2,19.3,19.2,19.1,19.4,19.9,20.0,19.9,20.2,20.6,20.9,21.2,20.9,21.1,20.9,20.6,20.5,20.5,20.4,21.2,20.1,19.1
16,20.2,20.1,20.1,20.2,19.8,19.7,19.5,19.7,21.6,21.6,21.5,21.6,21.7,21.8,21.9,21.9,22.1,21.9,22.1,21.9,21.4,21.6,21.6,21.6,22.1,21.1,19.5
17,21.4,21.2,21.0,20.9,20.7,20.6,21.1,20.6,22.3,22.4,22.8,22.5,22.3,22.2,22.1,21.9,21.8,21.9,21.2,21.2,21.6,21.8,21.4,21.4,22.8,21.6,20.6
18,21.4,21.3,21.0,20.9,20.7,20.6,20.5,20.6,21.0,21.3,21.3,20.7,21.0,21.0,19.9,20.0,20.5,20.0,21.0,20.9,20.8,20.9,20.9,21.0,21.4,20.9,19.9
19,21.1,20.6,20.5,20.9,20.2,19.9,20.0,19.9,21.7,22.7,24.7,26.0,28.0,24.5,23.6,22.9,22.4,22.9,22.3,22.3,22.5,22.8,23.1,23.1,28.0,22.5,19.9
20,22.8,23.0,22.8,22.6,22.2,21.9,22.5,21.9,23.7,24.0,24.3,24.3,23.9,23.9,25.3,25.3,26.5,25.3,22.9,21.9,21.2,21.4,21.5,21.6,26.5,23.1,21.2
21,21.8,21.8,21.2,21.0,21.1,21.3,21.3,21.3,22.0,21.6,21.1,21.5,21.6,20.8,20.7,20.2,19.8,20.2,20.1,20.5,20.4,20.5,20.4,20.2,22.0,20.9,19.7
22,20.2,20.0,20.0,20.0,20.1,20.0,20.0,20.0,20.3,20.5,20.7,20.8,21.1,21.2,21.4,21.7,22.0,21.7,22.3,22.1,22.2,22.1,22.1,21.9,22.3,21.0,20.0
23,21.7,21.7,21.6,21.6,21.5,21.4,21.4,21.4,21.9,22.2,22.4,21.4,21.8,22.4,23.3,23.5,23.2,23.5,23.0,22.8,22.4,22.5,22.5,22.6,23.5,22.2,21.4
24,22.5,22.5,22.6,22.7,22.4,22.2,22.1,22.2,23.3,24.1,25.2,26.1,25.0,24.2,24.0,24.0,23.8,24.0,23.1,22.6,23.2,23.4,23.7,23.4,26.1,23.4,22.1
25,23.4,23.7,23.4,23.1,23.0,22.5,22.3,22.5,23.2,23.7,24.4,25.5,27.4,28.6,29.4,29.9,29.4,29.9,26.7,25.9,23.1,22.7,22.8,22.3,29.9,24.9,22.3
26,22.3,22.2,22.0,21.8,21.9,22.4,23.7,22.4,24.5,24.6,24.2,24.4,24.5,24.3,24.5,25.6,25.8,25.6,25.1,24.9,24.7,24.4,24.2,23.9,25.8,24.0,21.8
27,23.6,23.4,23.0,22.1,21.9,21.9,21.9,21.9,22.8,23.5,24.7,23.5,25.1,23.0,23.7,25.3,25.5,25.3,23.4,23.5,24.7,24.5,24.7,24.1,25.5,23.6,21.9
28,23.3,22.4,21.7,21.0,20.8,20.9,20.9,20.9,21.4,21.1,21.6,23.4,24.3,25.5,25.9,25.5,25.6,25.5,25.4,25.3,25.4,25.4,25.3,25.4,25.9,23.5,20.8
29,25.0,24.6,24.7,24.7,24.5,24.7,24.8,24.7,25.4,25.8,25.7,24.9,24.0,23.7,24.6,25.0,25.3,25.0,25.1,24.8,24.8,24.8,24.3,23.7,25.8,24.8,23.7
30,23.4,23.4,23.7,23.5,23.1,23.1,22.9,23.1,22.9,23.0,22.9,22.8,22.8,23.2,23.9,23.8,23.4,23.8,23.3,23.1,23.1,23.4,23.5,23.7,23.9,23.3,22.8
TOTAL,21.0,20.9,20.8,20.6,20.5,20.4,20.4,20.4,21.1,21.5,21.9,22.0,22.3,22.3,22.3,22.3,22.4,22.3,21.9,21.7,21.5,21.4,21.4,21.2,23.4,21.4,20.0
